model,fullmoves,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,num_games
Statistical Baseline (Rating-based),10,0.6419878296146044,0.45255561904410807,0.605114573075459,0.4279538746804472,0.4808039183039183,0.6712889318730019,4927
Random Forest Classifier,10,0.6419878296146044,0.4577048442663292,0.6061172876717837,0.5945371497157718,0.4817327733994401,0.6966230132618373,4927
Logistic Regression,10,0.6440162271805274,0.4594780679777333,0.6081189632101888,0.7620326378847345,0.48413315079981745,0.698644137213655,4927
Statistical Baseline (Rating-based),20,0.6616379310344828,0.46690160165583156,0.6229078628541179,0.44106303753764214,0.4964353155020591,0.6845076596158169,4638
Random Forest Classifier,20,0.6799568965517241,0.47954395131664596,0.6400824777169957,0.4537179439088738,0.5089293776327826,0.7427933538378557,4638
Logistic Regression,20,0.6681034482758621,0.48310597046255666,0.6317750790513208,0.778061256277024,0.5057108742963888,0.7445232471039076,4638
Statistical Baseline (Rating-based),30,0.613941018766756,0.4369938451571104,0.5723912697978463,0.40929401251117065,0.46908457316419955,0.6574978044655279,3727
Random Forest Classifier,30,0.660857908847185,0.4939011605678272,0.6221802227164157,0.7734902632563451,0.5133765752642756,0.7329176734228184,3727
Logistic Regression,30,0.6595174262734584,0.46885988388850003,0.6142707884081898,0.4397478733761919,0.502851453453567,0.7281826805532082,3727
